Freq.	V(v_output)
1.00000000000000e-03	(-1.19975520970740e+02dB,1.79884550507125e+02°)
1.25892541179417e-03	(-1.15975526103501e+02dB,1.79854657728204e+02°)
1.58489319246111e-03	(-1.11975534238373e+02dB,1.79817024977618e+02°)
1.99526231496888e-03	(-1.07975547131260e+02dB,1.79769648208309e+02°)
2.51188643150958e-03	(-1.03975567565071e+02dB,1.79710004502668e+02°)
3.16227766016838e-03	(-9.99755999503799e+01dB,1.79634917751787e+02°)
3.98107170553497e-03	(-9.59756512773881e+01dB,1.79540389583547e+02°)
5.01187233627272e-03	(-9.19757326245927e+01dB,1.79421386569341e+02°)
6.30957344480194e-03	(-8.79758615496628e+01dB,1.79271572444226e+02°)
7.94328234724282e-03	(-8.39760658782091e+01dB,1.79082971213561e+02°)
1.00000000000000e-02	(-7.99763897072854e+01dB,1.78845543471245e+02°)
1.25892541179417e-02	(-7.59769029170550e+01dB,1.78546653897354e+02°)
1.58489319246111e-02	(-7.19777162376165e+01dB,1.78170402635155e+02°)
1.99526231496888e-02	(-6.79790051078588e+01dB,1.77696787049421e+02°)
2.51188643150958e-02	(-6.39810474378557e+01dB,1.77100653427801e+02°)
3.16227766016838e-02	(-5.99842833294140e+01dB,1.76350391163626e+02°)
3.98107170553498e-02	(-5.59894094038235e+01dB,1.75406316511035e+02°)
5.01187233627273e-02	(-5.19975274925273e+01dB,1.74218692840340e+02°)
6.30957344480194e-02	(-4.80103782742440e+01dB,1.72725347230161e+02°)
7.94328234724282e-02	(-4.40307065250927e+01dB,1.70848884885247e+02°)
1.00000000000000e-01	(-4.00628274936378e+01dB,1.68493603619131e+02°)
1.25892541179417e-01	(-3.61134937228436e+01dB,1.65542426605808e+02°)
1.58489319246112e-01	(-3.21931937589760e+01dB,1.61854599428229e+02°)
1.99526231496888e-01	(-2.83180306315446e+01dB,1.57265683140876e+02°)
2.51188643150958e-01	(-2.45122803514328e+01dB,1.51592678561943e+02°)
3.16227766016838e-01	(-2.08115143117755e+01dB,1.44648925263392e+02°)
